id,user_id,iban,pan,pin,cvv,track1,track2,expiring_date
CcU-2938,275,TR301950312213576817638661,5424465566813633,3257,984,%B8383712448554646^WovsxejDpwiev^86041142?7,%B7653863056044187=8007163336?3,10/30/22
CcU-2945,274,DO26854763748537475216568689,5142423821948828,9080,887,%B4621311609958661^UftuyfsSeimxn^0610628241?7,%B4149568437843501=5107140330?1,08/24/23
CcU-2952,273,BG45IVQL52710525608255,4556 453 55 5287,4598,438,%B2183285104307501^CddyytcUxwfdq^5907955430?9,%B6778580257827162=69068597400?7,06/29/21
CcU-2959,272,CR7242477244335841535,372461377349375,3583,667,%B7281111956795320^XocddijBckecd^09016253?3,%B4246154489281853=2805223916?8,02/24/23
CcU-2966,271,BG72LKTQ15627628377363,448566 886747 7265,4900,130,%B4728932322756223^JhlgvsuFbmwgj^72022894943?7,%B2318571115599881=8908215784?5,10/29/24
CcU-2973,270,PT87806228135092429456346,544 58654 54343 384,8760,887,%B4761405253275637^HjnnipoBlejrl^7108515632?1,%B7816169831446746=13102772?9,01/30/25
CcU-2980,269,DE39241881883086277136,402400 7145845969,5075,596,%B7320483593870549^OokzqxrHpased^49017394?3,%B2474313962214151=0412219131?5,07/24/22
CcU-2987,268,GE89681434837748781813,3763 747687 76666,2298,797,%B4750646345146674^PjmlyrfGwwtrf^83051712?6,%B5441935173418615=4103704536?7,10/31/23
CcU-2994,267,BH62714428368066765294,344283273252593,7545,595,%B1583759784015674^GmqoyhtUtoqrn^25078511?7,%B4141467473024349=65068009550?4,02/28/22
CcU-3001,266,CY49087426654774581266832110,511722 924833 2244,9562,867,%B6227288756728648^AwxilfcFmgvdy^2808804611?8,%B3429355750963453=5305268305?3,09/16/22
CcU-3008,265,LU507216693616119230,4485744464433884,1856,740,%B7182449430529226^MkoutyhTfdvpo^1708175473?5,%B6235123731781366=9405638166?8,04/05/25
CcU-3015,264,PS119398216295715968342456821,3784 662233 17389,3246,822,%B5776250106724742^QvvzkrcCwrovm^53058424897?4,%B3561372148267521=1905473166?7,01/31/22
CcU-3022,263,GT91695162850556977423121857,5164 1379 4842 3951,5610,342,%B8456622214332875^XmwxhenXwoxbt^0508295738?5,%B7761154174374063=2304233429?4,04/25/25
CcU-3029,262,AZ62317413982441418123739746,3429 279566 77631,9708,505,%B9882354238385082^HrmhqsnRprjpm^1902708608?3,%B4377026757181186=5802453819?6,09/02/23
